;mean;amin;amax;median;std;var
19744;1.0;1.0;1.0;1.0;0.0;0.0
19804;1.0;1.0;1.0;1.0;0.0;0.0
19840;1.0;1.0;1.0;1.0;0.0;0.0
19892;1.0;1.0;1.0;1.0;0.0;0.0
19896;1.0;1.0;1.0;1.0;0.0;0.0
19944;1.0;1.0;1.0;1.0;0.0;0.0
19964;1.0;1.0;1.0;1.0;0.0;0.0
19972;1.0;1.0;1.0;1.0;0.0;0.0
20008;1.0;1.0;1.0;1.0;0.0;0.0
20028;1.0;1.0;1.0;1.0;0.0;0.0
20064;1.0;1.0;1.0;1.0;0.0;0.0
20096;1.0;1.0;1.0;1.0;0.0;0.0
20112;1.0;1.0;1.0;1.0;0.0;0.0
20128;1.0;1.0;1.0;1.0;0.0;0.0
20288;1.0;1.0;1.0;1.0;0.0;0.0
20488;1.0;1.0;1.0;1.0;0.0;0.0
20536;1.0;1.0;1.0;1.0;0.0;0.0
20540;1.0;1.0;1.0;1.0;0.0;0.0
20572;1.0;1.0;1.0;1.0;0.0;0.0
20580;1.0;1.0;1.0;1.0;0.0;0.0
20632;1.0;1.0;1.0;1.0;0.0;0.0
20652;1.0;1.0;1.0;1.0;0.0;0.0
20672;1.0;1.0;1.0;1.0;0.0;0.0
20688;1.0;1.0;1.0;1.0;0.0;0.0
20708;1.0;1.0;1.0;1.0;0.0;0.0
20732;1.0;1.0;1.0;1.0;0.0;0.0
20800;1.0;1.0;1.0;1.0;0.0;0.0
20820;1.0;1.0;1.0;1.0;0.0;0.0
20844;1.0;1.0;1.0;1.0;0.0;0.0
20904;1.0;1.0;1.0;1.0;0.0;0.0
20912;1.0;1.0;1.0;1.0;0.0;0.0
20936;1.0;1.0;1.0;1.0;0.0;0.0
20968;1.0;1.0;1.0;1.0;0.0;0.0
20992;1.0;1.0;1.0;1.0;0.0;0.0
21036;1.0;1.0;1.0;1.0;0.0;0.0
21064;1.0;1.0;1.0;1.0;0.0;0.0
21168;1.0;1.0;1.0;1.0;0.0;0.0
21252;1.0;1.0;1.0;1.0;0.0;0.0
21264;1.0;1.0;1.0;1.0;0.0;0.0
21316;1.0;1.0;1.0;1.0;0.0;0.0
