;mean;amin;amax;median;std;var
17604;1.0;1.0;1.0;1.0;0.0;0.0
17736;1.0;1.0;1.0;1.0;0.0;0.0
17808;0.0;0.0;0.0;0.0;0.0;0.0
17856;1.0;1.0;1.0;1.0;0.0;0.0
17872;1.0;1.0;1.0;1.0;0.0;0.0
17960;1.0;1.0;1.0;1.0;0.0;0.0
18348;1.0;1.0;1.0;1.0;0.0;0.0
18412;1.0;1.0;1.0;1.0;0.0;0.0
18552;1.0;1.0;1.0;1.0;0.0;0.0
18568;0.0;0.0;0.0;0.0;0.0;0.0
18708;1.0;1.0;1.0;1.0;0.0;0.0
18776;1.0;1.0;1.0;1.0;0.0;0.0
18920;0.0;0.0;0.0;0.0;0.0;0.0
19028;1.0;1.0;1.0;1.0;0.0;0.0
19140;1.0;1.0;1.0;1.0;0.0;0.0
19180;1.0;1.0;1.0;1.0;0.0;0.0
19364;1.0;1.0;1.0;1.0;0.0;0.0
19372;1.0;1.0;1.0;1.0;0.0;0.0
19448;1.0;1.0;1.0;1.0;0.0;0.0
19508;1.0;1.0;1.0;1.0;0.0;0.0
19568;1.0;1.0;1.0;1.0;0.0;0.0
19724;0.0;0.0;0.0;0.0;0.0;0.0
19732;1.0;1.0;1.0;1.0;0.0;0.0
19764;1.0;1.0;1.0;1.0;0.0;0.0
19796;1.0;1.0;1.0;1.0;0.0;0.0
19844;1.0;1.0;1.0;1.0;0.0;0.0
19880;1.0;1.0;1.0;1.0;0.0;0.0
19888;1.0;1.0;1.0;1.0;0.0;0.0
19892;1.0;1.0;1.0;1.0;0.0;0.0
19956;1.0;1.0;1.0;1.0;0.0;0.0
20020;1.0;1.0;1.0;1.0;0.0;0.0
20052;1.0;1.0;1.0;1.0;0.0;0.0
20328;1.0;1.0;1.0;1.0;0.0;0.0
20380;0.0;0.0;0.0;0.0;0.0;0.0
20472;1.0;1.0;1.0;1.0;0.0;0.0
20592;1.0;1.0;1.0;1.0;0.0;0.0
20744;1.0;1.0;1.0;1.0;0.0;0.0
20860;1.0;1.0;1.0;1.0;0.0;0.0
21024;1.0;1.0;1.0;1.0;0.0;0.0
21072;1.0;1.0;1.0;1.0;0.0;0.0
21244;1.0;1.0;1.0;1.0;0.0;0.0
21300;1.0;1.0;1.0;1.0;0.0;0.0
21356;1.0;1.0;1.0;1.0;0.0;0.0
21376;1.0;1.0;1.0;1.0;0.0;0.0
21588;1.0;1.0;1.0;1.0;0.0;0.0
21712;1.0;1.0;1.0;1.0;0.0;0.0
21928;1.0;1.0;1.0;1.0;0.0;0.0
21952;1.0;1.0;1.0;1.0;0.0;0.0
22260;1.0;1.0;1.0;1.0;0.0;0.0
22268;1.0;1.0;1.0;1.0;0.0;0.0
22348;1.0;1.0;1.0;1.0;0.0;0.0
22400;1.0;1.0;1.0;1.0;0.0;0.0
22636;1.0;1.0;1.0;1.0;0.0;0.0
22656;1.0;1.0;1.0;1.0;0.0;0.0
22664;1.0;1.0;1.0;1.0;0.0;0.0
22696;1.0;1.0;1.0;1.0;0.0;0.0
22716;0.0;0.0;0.0;0.0;0.0;0.0
22760;1.0;1.0;1.0;1.0;0.0;0.0
22784;1.0;1.0;1.0;1.0;0.0;0.0
22840;1.0;1.0;1.0;1.0;0.0;0.0
22968;1.0;1.0;1.0;1.0;0.0;0.0
23012;1.0;1.0;1.0;1.0;0.0;0.0
23044;1.0;1.0;1.0;1.0;0.0;0.0
23096;1.0;1.0;1.0;1.0;0.0;0.0
23204;1.0;1.0;1.0;1.0;0.0;0.0
23368;1.0;1.0;1.0;1.0;0.0;0.0
23392;1.0;1.0;1.0;1.0;0.0;0.0
23460;1.0;1.0;1.0;1.0;0.0;0.0
23496;1.0;1.0;1.0;1.0;0.0;0.0
23504;1.0;1.0;1.0;1.0;0.0;0.0
23564;1.0;1.0;1.0;1.0;0.0;0.0
23600;1.0;1.0;1.0;1.0;0.0;0.0
23604;1.0;1.0;1.0;1.0;0.0;0.0
23616;1.0;1.0;1.0;1.0;0.0;0.0
23708;1.0;1.0;1.0;1.0;0.0;0.0
23808;1.0;1.0;1.0;1.0;0.0;0.0
23876;1.0;1.0;1.0;1.0;0.0;0.0
23908;1.0;1.0;1.0;1.0;0.0;0.0
24084;1.0;1.0;1.0;1.0;0.0;0.0
24116;1.0;1.0;1.0;1.0;0.0;0.0
24216;1.0;1.0;1.0;1.0;0.0;0.0
24260;1.0;1.0;1.0;1.0;0.0;0.0
24308;1.0;1.0;1.0;1.0;0.0;0.0
24316;1.0;1.0;1.0;1.0;0.0;0.0
24344;1.0;1.0;1.0;1.0;0.0;0.0
24416;1.0;1.0;1.0;1.0;0.0;0.0
24424;0.0;0.0;0.0;0.0;0.0;0.0
24452;1.0;1.0;1.0;1.0;0.0;0.0
24588;1.0;1.0;1.0;1.0;0.0;0.0
24636;1.0;1.0;1.0;1.0;0.0;0.0
24748;1.0;1.0;1.0;1.0;0.0;0.0
24768;1.0;1.0;1.0;1.0;0.0;0.0
24780;1.0;1.0;1.0;1.0;0.0;0.0
24808;1.0;1.0;1.0;1.0;0.0;0.0
24984;1.0;1.0;1.0;1.0;0.0;0.0
25040;0.0;0.0;0.0;0.0;0.0;0.0
25280;1.0;1.0;1.0;1.0;0.0;0.0
25336;1.0;1.0;1.0;1.0;0.0;0.0
25388;1.0;1.0;1.0;1.0;0.0;0.0
25452;1.0;1.0;1.0;1.0;0.0;0.0
25480;1.0;1.0;1.0;1.0;0.0;0.0
25492;1.0;1.0;1.0;1.0;0.0;0.0
25508;1.0;1.0;1.0;1.0;0.0;0.0
25620;1.0;1.0;1.0;1.0;0.0;0.0
25624;1.0;1.0;1.0;1.0;0.0;0.0
25664;1.0;1.0;1.0;1.0;0.0;0.0
25708;1.0;1.0;1.0;1.0;0.0;0.0
25764;1.0;1.0;1.0;1.0;0.0;0.0
25832;1.0;1.0;1.0;1.0;0.0;0.0
25848;1.0;1.0;1.0;1.0;0.0;0.0
25876;1.0;1.0;1.0;1.0;0.0;0.0
25924;1.0;1.0;1.0;1.0;0.0;0.0
26000;1.0;1.0;1.0;1.0;0.0;0.0
